frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.014997362159192562,0.040970008820295334,0.0,0.0,417,700
0,1,-0.017724154517054558,0.039866238832473755,0.0,0.0,417,700
0,2,-0.0736234113574028,0.04683420807123184,0.0,0.0,476,679
0,3,-0.035448309034109116,0.07973247766494751,0.0,0.0,476,679
0,4,-0.11452530324459076,0.06336494535207748,0.0,0.0,470,672
0,5,-0.061352841556072235,0.11561569571495056,0.0,0.0,470,672
0,6,-0.16360758244991302,0.06072856858372688,0.0,0.0,385,666
0,7,-0.07635020464658737,0.15692688524723053,0.0,0.0,385,666
0,8,0.020450947806239128,0.2171826958656311,0.0,0.0,199,679
0,9,-0.16360758244991302,0.1442883312702179,0.0,0.0,199,679
0,10,-0.23723098635673523,0.11066211014986038,0.0,0.0,112,708
0,11,-0.2208702266216278,0.14050263166427612,0.0,0.0,112,708
0,12,0.0,0.7416877150535583,0.0,0.0,95,729
0,13,-0.04908227548003197,0.783781111240387,0.0,0.0,185,700
0,14,-0.10361813753843307,0.8224434852600098,0.0,0.0,206,679
0,15,-0.16360758244991302,0.8570983409881592,0.0,0.0,253,672
0,16,-0.08589398115873337,0.9121673107147217,0.0,0.0,253,666
0,17,-0.40083858370780945,0.8238661289215088,0.0,0.0,253,666
0,18,-0.479915589094162,0.8312382102012634,0.0,0.0,269,679
0,19,0.1199788972735405,0.9523029923439026,0.0,0.0,269,679
0,20,0.0,1.0034598112106323,0.0,0.0,275,708
0,21,-0.5017299056053162,0.8690216541290283,0.0,0.0,275,708
0,22,-0.032721515744924545,1.0465770959854126,0.0,0.0,359,738
0,23,-0.10225473344326019,1.0859134197235107,0.0,0.0,388,774
0,24,0.27267929911613464,1.0560823678970337,0.0,0.0,388,774
0,25,-0.14179323613643646,1.1254488229751587,0.0,0.0,354,808
0,26,0.2126898467540741,1.1142277717590332,0.0,0.0,354,808
0,27,0.2208702266216278,1.1570827960968018,0.0,0.0,269,845
0,28,-0.1840585321187973,1.1635061502456665,0.0,0.0,269,845
0,29,0.22905060648918152,1.1999377012252808,0.0,0.0,157,869
0,30,-0.15270040929317474,1.2120219469070435,0.0,0.0,157,869
0,31,-0.03953849896788597,1.2646139860153198,0.0,0.0,173,858
0,32,-0.08180379122495651,1.3063018321990967,0.0,0.0,201,844
0,33,0.0,1.3524893522262573,0.0,0.0,202,835
0,34,0.13088606297969818,1.3899692296981812,0.0,0.0,161,836
0,35,-0.4949129521846771,1.3520103693008423,0.0,0.0,109,832
0,36,0.04499208554625511,1.439043641090393,0.0,0.0,109,832
0,37,0.0,1.4833754301071167,0.0,0.0,110,828
0,38,-0.5099102854728699,1.3929803371429443,0.0,0.0,110,828
0,39,-0.017724154517054558,0.039866238832473755,0.0,0.12173257023096085,403,662
0,40,-0.03408491238951683,0.027233824133872986,0.0,0.12173257023096085,403,662
0,41,-0.07635020464658737,0.042243294417858124,0.0,0.12173257023096085,455,647
0,42,-0.032721515744924545,0.0808897539973259,0.0,0.12173257023096085,455,647
0,43,-0.11861549317836761,0.05533105507493019,0.0,0.12173257023096085,447,644
0,44,-0.05726265162229538,0.117695152759552,0.0,0.12173257023096085,447,644
0,45,-0.16906116902828217,0.04328649118542671,0.0,0.12173257023096085,362,637
